จังหวัด,เนื้อที่ยืนต้น,เนื้อที่ให้ผล,ผลผลิต,ผลผลิตต่อไร่,Province
เชียงราย,8396,3795,3870,1020,Chiang Rai
พะเยา,3779,75,108,1440,Phayao
ลำพูน,882,100,42,420,Lamphun
เชียงใหม่,300,120,50,417,Chiang Mai
ตาก,2304,1684,1250,742,Tak
กำแพงเพชร,4678,2316,1578,681,Kamphaeng Phet
สุโขทัย,2502,445,352,791,Sukhothai
แพร่,194,40,17,425,Phrae
น่าน,1239,153,64,418,Nan
อุตรดิตถ์,3701,71,30,423,Uttaradit
พิษณุโลก,5536,4932,4063,824,Phitsanulok
พิจิตร,97,9,8,889,Phichit
นครสวรรค์,1175,711,221,311,Nakhon Sawan
อุทัยธานี,7952,1930,937,485,Uthai Thani
เพชรบูรณ์,7009,349,161,461,Phetchabun
เลย,19551,12405,16200,1306,Loei
หนองบัวลำภู,3089,294,450,1531,Nong Bua Lam Phu
อุดรธานี,7453,3041,2978,979,Udon Thani
หนองคาย,10631,7492,7710,1029,Nong Khai
บึงกาฬ,13662,3505,5394,1539,Bung Kan
สกลนคร,8183,3929,1967,501,Sakon Nakhon
นครพนม,5805,3714,1643,442,Nakhon Phanom
มุกดาหาร,2064,695,380,547,Mukdahan
ยโสธร,1679,496,285,575,Yasothon
อำนาจเจริญ,3294,3294,2467,749,Amnat Charoen
อุบลราชธานี,18782,13708,16655,1215,Ubon Ratchathani
ศรีสะเกษ,5136,1822,2435,1336,Si Sa Ket
สุรินทร์,717,210,119,567,Surin
บุรีรัมย์,3579,1424,1155,811,Buri Ram
มหาสารคาม,19,19,7,368,Maha SaraKham
ร้อยเอ็ด,1184,688,458,666,Roi Et
กาฬสินธุ์,1956,387,233,602,Kalasin
ขอนแก่น,679,200,106,530,Khon Kaen
ชัยภูมิ,1034,246,139,565,Chaiyaphum
นครราชสีมา,4299,1938,3912,2019,Nakhon Ratchasima
สระบุรี,6582,5335,15412,2889,Saraburi
ลพบุรี,2537,750,338,451,Lop Buri
สิงห์บุรี,7,7,8,1143,Sing Buri
สุพรรณบุรี,2427,457,494,1081,Suphan Buri
ปทุมธานี,13424,8962,32299,3604,Pathum Thani
นครนายก,2456,1163,2776,2387,Nakhon Nayok
ปราจีนบุรี,12238,3329,5093,1530,Prachin Buri
ฉะเชิงเทรา,23761,9997,23541,2355,Chachoengsao
สระแก้ว,24527,13658,33342,2441,Sa Kaeo
จันทบุรี,20711,19992,49030,2452,Chanthaburi
ตราด,58705,45979,125718,2734,Trat
ระยอง,23421,18678,58087,3110,Rayong
ชลบุรี,99462,96211,279364,2904,Chon Buri
กาญจนบุรี,16156,10217,11651,1140,Kanchanaburi
ราชบุรี,8326,4782,3968,830,Ratchaburi
เพชรบุรี,11118,8400,16561,1972,Phetchaburi
ประจวบคีรีขันธ์,117074,110287,268172,2432,Prachuap Khiri Khan
ชุมพร,848903,786708,2561679,3256,Chumphon
ระนอง,95269,64684,209381,3237,Ranong
สุราษฎร์ธานี,1052543,991648,3510160,3540,Surat Thani
พังงา,174061,150656,476900,3165,Phangnga
ภูเก็ต,1347,1250,3257,2606,Phuket
กระบี่,989246,932413,3460136,3711,Krabi
ตรัง,159105,137989,448063,3247,Trang
นครศรีธรรมราช,330407,237523,738863,3111,Nakhon Si Thammarat
พัทลุง,36466,24593,44831,1823,Phatthalung
สงขลา,38120,22278,49265,2211,Songkhla
สตูล,104574,95692,233892,2444,Satun
ปัตตานี,15807,7432,18655,2510,Pattani
ยะลา,7389,3020,4682,1550,Yala
นราธิวาส,45237,24233,48999,2022,Narathiwat
